Age,Are you self-employed?,How many employees does your company or organization have?,Has Benefits,Do you know the options for mental health care available under your employer-provided coverage?,Fears Consequences,Comfort w Coworkers,Comfort w Supervisor,Cluster
39.0,0.0,0.09,0.19,0.49,0.0,0.5,1.0,3
29.0,0.0,0.25,0.0,1.0,0.0,0.5,1.0,3
38.0,0.0,0.25,0.0,0.49,0.5,0.5,0.5,3
43.0,1.0,0.35,0.5,0.49,0.5,0.5,0.5,2
43.0,0.0,0.25,1.0,1.0,1.0,0.5,0.0,0
42.0,0.0,0.57,1.0,0.49,1.0,0.5,1.0,1
30.0,0.0,0.09,0.5,0.0,0.0,0.5,1.0,3
37.0,0.0,0.57,1.0,1.0,0.0,0.5,1.0,1
44.0,0.0,0.09,0.5,0.0,1.0,1.0,0.5,3
30.0,1.0,0.35,0.5,0.49,0.5,0.5,0.5,2
28.0,0.0,0.09,1.0,0.49,0.0,0.5,1.0,1
34.0,0.0,0.73,1.0,1.0,1.0,0.0,0.0,0
30.0,0.0,0.73,1.0,0.49,0.0,1.0,1.0,1
44.0,0.0,0.73,1.0,1.0,0.0,0.0,0.5,1
35.0,0.0,0.73,1.0,1.0,0.0,1.0,1.0,1
52.0,0.0,0.73,0.5,0.0,0.5,0.5,0.5,0
32.0,0.0,0.09,0.19,0.0,0.5,0.5,0.5,3
34.0,0.0,0.35,0.0,0.0,0.5,1.0,0.5,3
25.0,1.0,0.35,0.5,0.49,0.5,0.5,0.5,2
31.0,0.0,0.73,0.5,0.0,1.0,0.0,0.0,0
26.0,0.0,0.25,0.0,0.49,0.0,0.5,1.0,3
35.0,0.0,0.57,1.0,0.0,0.0,0.5,1.0,3
25.0,0.0,0.09,1.0,1.0,0.5,0.5,0.0,1
33.0,0.0,0.79,1.0,1.0,0.5,0.5,0.5,1
38.0,1.0,0.35,0.5,0.49,0.5,0.5,0.5,2
42.0,0.0,0.73,1.0,1.0,0.0,0.5,0.5,1
27.0,0.0,0.09,0.0,0.0,1.0,0.0,0.0,0
35.0,0.0,0.73,0.5,0.0,0.0,0.0,0.0,0
34.0,0.0,0.35,0.5,0.0,0.5,0.5,0.5,3
32.0,0.0,0.25,0.19,0.49,0.0,1.0,1.0,3
32.0,0.0,0.73,0.19,1.0,0.5,0.5,0.5,0
30.0,0.0,0.73,1.0,1.0,0.0,1.0,1.0,1
31.0,0.0,0.57,0.5,0.49,0.5,0.0,0.5,0
